node_id,label,group,implementation_location,status
A,기출문제 업로드,동의/업로드,"frontend/components/UploadWizard.tsx, backend/app/worker.py",COVERED
B,과목 입력,과목/교육과정,"backend/app/services/curriculum.py, backend/app/worker.py",COVERED
A1,로컬 미리보기 제공,동의/업로드,"frontend/components/UploadWizard.tsx, backend/app/worker.py",COVERED
A2,"개인정보, 필기, 채점 흔적 가능성 안내",동의/업로드,"frontend/components/UploadWizard.tsx, backend/app/worker.py",COVERED
A3,AI/OCR 서버 처리 안내,동의/업로드,"frontend/components/UploadWizard.tsx, backend/app/worker.py",COVERED
A4,저장 기간 및 삭제 가능 여부 안내,동의/업로드,"frontend/components/UploadWizard.tsx, backend/app/worker.py",COVERED
A5,동의 확인,동의/업로드,"frontend/components/UploadWizard.tsx, backend/app/worker.py",COVERED
X1,진행 중단,종료/오류,backend/app/worker.py,COVERED
C1,파일 분석 시작,파일 분석,"backend/app/services/ingestion.py, backend/app/worker.py",COVERED
B1,과학 또는 수학 과목인가,과목/교육과정,"backend/app/services/curriculum.py, backend/app/worker.py",COVERED
X2,지원하지 않는 과목 오류,종료/오류,backend/app/worker.py,COVERED
B2,교육과정 DB 조회,과목/교육과정,"backend/app/services/curriculum.py, backend/app/worker.py",COVERED
B3,대단원 로드,과목/교육과정,"backend/app/services/curriculum.py, backend/app/worker.py",COVERED
B4,중단원 로드,과목/교육과정,"backend/app/services/curriculum.py, backend/app/worker.py",COVERED
B5,소단원 로드,과목/교육과정,"backend/app/services/curriculum.py, backend/app/worker.py",COVERED
B6,소단원별 키워드와 태그 기준 생성,과목/교육과정,"backend/app/services/curriculum.py, backend/app/worker.py",COVERED
C2,업로드 파일 형식 확인,파일 분석,"backend/app/services/ingestion.py, backend/app/worker.py",COVERED
C3,압축 해제,파일 분석,"backend/app/services/ingestion.py, backend/app/worker.py",COVERED
C4,개별 PDF 분리,파일 분석,"backend/app/services/ingestion.py, backend/app/worker.py",COVERED
X3,지원하지 않는 파일 형식 오류,종료/오류,backend/app/worker.py,COVERED
D1,파일명에서 메타데이터 후보 추출,메타데이터,"backend/app/services/metadata.py, frontend/components/ReviewPanel.tsx",COVERED
D2,첫 페이지만 OCR,메타데이터,"backend/app/services/metadata.py, frontend/components/ReviewPanel.tsx",COVERED
D3,첫 페이지에서 메타데이터 후보 추출,메타데이터,"backend/app/services/metadata.py, frontend/components/ReviewPanel.tsx",COVERED
D4,학교명 후보 생성,메타데이터,"backend/app/services/metadata.py, frontend/components/ReviewPanel.tsx",COVERED
D5,학년도 후보 생성,메타데이터,"backend/app/services/metadata.py, frontend/components/ReviewPanel.tsx",COVERED
D6,학년 후보 생성,메타데이터,"backend/app/services/metadata.py, frontend/components/ReviewPanel.tsx",COVERED
D7,학기 후보 생성,메타데이터,"backend/app/services/metadata.py, frontend/components/ReviewPanel.tsx",COVERED
D8,시험명 후보 생성,메타데이터,"backend/app/services/metadata.py, frontend/components/ReviewPanel.tsx",COVERED
D9,과목명 후보 생성,메타데이터,"backend/app/services/metadata.py, frontend/components/ReviewPanel.tsx",COVERED
D10,교육과정 기준으로 과목명 후보 정규화,메타데이터,"backend/app/services/metadata.py, frontend/components/ReviewPanel.tsx",COVERED
D11,메타데이터 확인 UI 표시,메타데이터,"backend/app/services/metadata.py, frontend/components/ReviewPanel.tsx",COVERED
D12,"사용자가 학교명, 학년도, 학년, 학기, 시험명, 과목 수정 또는 확정",메타데이터,"backend/app/services/metadata.py, frontend/components/ReviewPanel.tsx",COVERED
D13,확정 메타데이터로 exam_id 생성,메타데이터,"backend/app/services/metadata.py, frontend/components/ReviewPanel.tsx",COVERED
D14,표준 규칙으로 PDF 파일명 변경,메타데이터,"backend/app/services/metadata.py, frontend/components/ReviewPanel.tsx",COVERED
E1,PDF 역할 판별,PDF 역할,"backend/app/services/pdf_pipeline.py, frontend/components/ReviewPanel.tsx",COVERED
E2,PDF 역할,PDF 역할,"backend/app/services/pdf_pipeline.py, frontend/components/ReviewPanel.tsx",COVERED
E3,문제지로 표시,PDF 역할,"backend/app/services/pdf_pipeline.py, frontend/components/ReviewPanel.tsx",COVERED
E4,답지로 표시,PDF 역할,"backend/app/services/pdf_pipeline.py, frontend/components/ReviewPanel.tsx",COVERED
E5,합본 PDF로 표시,PDF 역할,"backend/app/services/pdf_pipeline.py, frontend/components/ReviewPanel.tsx",COVERED
E6,사용자 확인 필요 표시,PDF 역할,"backend/app/services/pdf_pipeline.py, frontend/components/ReviewPanel.tsx",COVERED
E7,문제지 시작 페이지 후보 추출,PDF 역할,"backend/app/services/pdf_pipeline.py, frontend/components/ReviewPanel.tsx",COVERED
E8,문제지 끝 페이지 후보 추출,PDF 역할,"backend/app/services/pdf_pipeline.py, frontend/components/ReviewPanel.tsx",COVERED
E9,답지 시작 페이지 후보 추출,PDF 역할,"backend/app/services/pdf_pipeline.py, frontend/components/ReviewPanel.tsx",COVERED
